sensor_id,MAE,RMSE,R2
0,0.3231,0.449,0.9975
1,0.3181,0.4452,0.9979
2,0.3213,0.4459,0.9978
3,0.3193,0.4442,0.998
4,0.3223,0.4449,0.9975
