scenario,epsilon,transmitted,reduction_percentage,global_MAE,global_RMSE,global_R2,max_MAE,std_MAE,max_RMSE,std_RMSE,execution_time_s
epsilon_0_5,0.5,566091,35.55,0.0871,0.1694,0.9997,0.0908,0.0015,0.1738,0.0018,117.37
epsilon_1_0,1.0,342888,60.96,0.2864,0.4288,0.9981,0.2947,0.0034,0.4369,0.0033,123.31
epsilon_0_5,0.5,566091,35.55,0.0871,0.1694,0.9997,0.0908,0.0015,0.1738,0.0018,126.41
epsilon_1_0,1.0,342888,60.96,0.2864,0.4288,0.9981,0.2947,0.0034,0.4369,0.0033,145.68
