scenario,epsilon,transmitted,reduction_percentage,global_MAE,global_RMSE,global_R2,max_MAE,std_MAE,max_RMSE,std_RMSE,execution_time_s
epsilon_0_5,0.5,56613,35.55,0.0868,0.1691,0.9997,0.0893,0.0016,0.1727,0.0019,49.45
epsilon_1_0,1.0,34177,61.09,0.2873,0.4293,0.9981,0.2921,0.0025,0.4322,0.0019,52.8
epsilon_0_5,0.5,56613,35.55,0.0868,0.1691,0.9997,0.0893,0.0016,0.1727,0.0019,35.82
epsilon_1_0,1.0,34177,61.09,0.2873,0.4293,0.9981,0.2921,0.0025,0.4322,0.0019,45.17
