sensor_id,MAE,RMSE,R2
0,0.0864,0.1691,0.9997
1,0.0897,0.1719,0.9997
2,0.0858,0.1683,0.9997
3,0.0857,0.1676,0.9997
4,0.0891,0.1714,0.9997
5,0.0852,0.168,0.9997
6,0.089,0.1721,0.9997
7,0.089,0.1716,0.9997
8,0.0862,0.168,0.9997
9,0.0861,0.1691,0.9997
10,0.0844,0.1667,0.9997
11,0.086,0.1684,0.9997
12,0.0893,0.173,0.9997
13,0.0841,0.1661,0.9997
14,0.0877,0.1704,0.9997
15,0.0838,0.1653,0.9997
16,0.0863,0.1689,0.9997
17,0.0878,0.1705,0.9997
18,0.0859,0.1679,0.9997
19,0.0871,0.1688,0.9997
20,0.0856,0.169,0.9997
21,0.0854,0.1674,0.9997
22,0.0882,0.1711,0.9997
23,0.0886,0.1709,0.9997
24,0.0877,0.1708,0.9997
25,0.0851,0.1675,0.9997
26,0.0873,0.1698,0.9997
27,0.0871,0.1694,0.9997
28,0.0906,0.1738,0.9997
29,0.0892,0.1725,0.9997
30,0.0871,0.1682,0.9997
31,0.0864,0.1692,0.9997
32,0.0875,0.17,0.9997
33,0.0898,0.1719,0.9997
34,0.0864,0.1692,0.9997
35,0.0874,0.17,0.9997
36,0.087,0.1684,0.9997
37,0.0864,0.1689,0.9997
38,0.0872,0.1691,0.9997
39,0.0858,0.1685,0.9997
40,0.0856,0.1672,0.9997
41,0.089,0.1713,0.9997
42,0.0852,0.1668,0.9997
43,0.0853,0.1675,0.9997
44,0.0877,0.1708,0.9997
45,0.0915,0.1738,0.9997
46,0.0846,0.1663,0.9997
47,0.0863,0.1684,0.9997
48,0.0863,0.1687,0.9997
49,0.0842,0.1658,0.9997
