valid_time,t2m,latitude,longitude
2025-01-01 00:00:00,273.41736,32.30000000000103,-6.299999999988131
2025-01-01 01:00:00,272.5079,32.30000000000103,-6.299999999988131
2025-01-01 02:00:00,272.00226,32.30000000000103,-6.299999999988131
2025-01-01 03:00:00,271.50082,32.30000000000103,-6.299999999988131
2025-01-01 04:00:00,271.185,32.30000000000103,-6.299999999988131
2025-01-01 05:00:00,270.9573,32.30000000000103,-6.299999999988131
2025-01-01 06:00:00,270.77884,32.30000000000103,-6.299999999988131
2025-01-01 07:00:00,271.06775,32.30000000000103,-6.299999999988131
2025-01-01 08:00:00,271.43445,32.30000000000103,-6.299999999988131
2025-01-01 09:00:00,276.43652,32.30000000000103,-6.299999999988131
2025-01-01 10:00:00,280.82697,32.30000000000103,-6.299999999988131
2025-01-01 11:00:00,282.64252,32.30000000000103,-6.299999999988131
2025-01-01 12:00:00,283.7071,32.30000000000103,-6.299999999988131
2025-01-01 13:00:00,284.3354,32.30000000000103,-6.299999999988131
2025-01-01 14:00:00,284.58765,32.30000000000103,-6.299999999988131
2025-01-01 15:00:00,284.5288,32.30000000000103,-6.299999999988131
2025-01-01 16:00:00,284.1308,32.30000000000103,-6.299999999988131
2025-01-01 17:00:00,283.1508,32.30000000000103,-6.299999999988131
2025-01-01 18:00:00,282.00592,32.30000000000103,-6.299999999988131
2025-01-01 19:00:00,281.33893,32.30000000000103,-6.299999999988131
2025-01-01 20:00:00,280.2182,32.30000000000103,-6.299999999988131
2025-01-01 21:00:00,277.1919,32.30000000000103,-6.299999999988131
2025-01-01 22:00:00,275.08032,32.30000000000103,-6.299999999988131
2025-01-01 23:00:00,273.30103,32.30000000000103,-6.299999999988131
2025-01-02 00:00:00,272.13446,32.30000000000103,-6.299999999988131
2025-01-02 01:00:00,271.50497,32.30000000000103,-6.299999999988131
2025-01-02 02:00:00,271.00208,32.30000000000103,-6.299999999988131
2025-01-02 03:00:00,270.63623,32.30000000000103,-6.299999999988131
2025-01-02 04:00:00,270.3039,32.30000000000103,-6.299999999988131
2025-01-02 05:00:00,269.99747,32.30000000000103,-6.299999999988131
2025-01-02 06:00:00,269.79285,32.30000000000103,-6.299999999988131
2025-01-02 07:00:00,269.73535,32.30000000000103,-6.299999999988131
2025-01-02 08:00:00,270.11386,32.30000000000103,-6.299999999988131
2025-01-02 09:00:00,275.59085,32.30000000000103,-6.299999999988131
2025-01-02 10:00:00,281.95416,32.30000000000103,-6.299999999988131
2025-01-02 11:00:00,284.49823,32.30000000000103,-6.299999999988131
2025-01-02 12:00:00,286.17975,32.30000000000103,-6.299999999988131
2025-01-02 13:00:00,287.23984,32.30000000000103,-6.299999999988131
2025-01-02 14:00:00,287.73737,32.30000000000103,-6.299999999988131
2025-01-02 15:00:00,287.7285,32.30000000000103,-6.299999999988131
2025-01-02 16:00:00,287.07996,32.30000000000103,-6.299999999988131
2025-01-02 17:00:00,285.84897,32.30000000000103,-6.299999999988131
2025-01-02 18:00:00,283.6501,32.30000000000103,-6.299999999988131
2025-01-02 19:00:00,283.80283,32.30000000000103,-6.299999999988131
2025-01-02 20:00:00,282.9299,32.30000000000103,-6.299999999988131
2025-01-02 21:00:00,280.5997,32.30000000000103,-6.299999999988131
2025-01-02 22:00:00,277.73615,32.30000000000103,-6.299999999988131
2025-01-02 23:00:00,275.44443,32.30000000000103,-6.299999999988131
2025-01-03 00:00:00,273.693,32.30000000000103,-6.299999999988131
2025-01-03 01:00:00,272.50177,32.30000000000103,-6.299999999988131
2025-01-03 02:00:00,271.71832,32.30000000000103,-6.299999999988131
2025-01-03 03:00:00,271.1649,32.30000000000103,-6.299999999988131
2025-01-03 04:00:00,270.83667,32.30000000000103,-6.299999999988131
2025-01-03 05:00:00,270.7365,32.30000000000103,-6.299999999988131
2025-01-03 06:00:00,270.60132,32.30000000000103,-6.299999999988131
2025-01-03 07:00:00,270.93677,32.30000000000103,-6.299999999988131
2025-01-03 08:00:00,271.12085,32.30000000000103,-6.299999999988131
2025-01-03 09:00:00,276.56897,32.30000000000103,-6.299999999988131
2025-01-03 10:00:00,283.35495,32.30000000000103,-6.299999999988131
2025-01-03 11:00:00,285.87115,32.30000000000103,-6.299999999988131
2025-01-03 12:00:00,287.19788,32.30000000000103,-6.299999999988131
2025-01-03 13:00:00,287.96283,32.30000000000103,-6.299999999988131
2025-01-03 14:00:00,288.255,32.30000000000103,-6.299999999988131
2025-01-03 15:00:00,288.06384,32.30000000000103,-6.299999999988131
