sensor_id,MAE,RMSE,R2
0,0.124,0.1998,0.9995
1,0.1262,0.2018,0.9996
2,0.1266,0.2001,0.9996
3,0.1251,0.1998,0.9996
4,0.1277,0.2021,0.9995
