sensor_id,city,MAE,RMSE,R2,transmissions,total_points,reduction_pct
0,Azilal,0.124,0.1998,0.9995,4184,8784,52.37
1,Beni Mellal,0.1262,0.2018,0.9996,4085,8784,53.49
2,Fquih Ben Salah,0.1266,0.2001,0.9996,3974,8784,54.76
3,Khenifra,0.1251,0.1998,0.9996,4106,8784,53.26
4,Marrakech,0.1277,0.2021,0.9995,3983,8784,54.66
