scenario,epsilon,transmitted,reduction_percentage,global_MAE,global_RMSE,global_R2,max_MAE,std_MAE,max_RMSE,std_RMSE,execution_time_s
epsilon_0_5,0.5,283658,35.41,0.0869,0.1693,0.9997,0.0915,0.0017,0.1738,0.002,79.38
epsilon_1_0,1.0,172221,60.79,0.2856,0.4282,0.9981,0.2939,0.0038,0.4361,0.0038,81.66
epsilon_0_5,0.5,283658,35.41,0.0869,0.1693,0.9997,0.0915,0.0017,0.1738,0.002,78.16
epsilon_1_0,1.0,172221,60.79,0.2856,0.4282,0.9981,0.2939,0.0038,0.4361,0.0038,90.66
