sensor_id,MAE,RMSE,R2
0,0.188,0.2894,0.999
1,0.1822,0.2807,0.9992
2,0.1837,0.2812,0.9991
3,0.1826,0.2824,0.9992
4,0.1816,0.2792,0.999
