sensor_id,MAE,RMSE,R2
0,0.284,0.4264,0.9981
1,0.287,0.427,0.9981
2,0.2801,0.4241,0.9982
3,0.2817,0.4242,0.9982
4,0.2902,0.4318,0.9981
5,0.2825,0.4247,0.9982
6,0.2826,0.4251,0.9982
7,0.2887,0.4312,0.9981
8,0.2875,0.4297,0.9981
9,0.2844,0.427,0.9981
10,0.2863,0.4287,0.9981
11,0.2877,0.4306,0.9981
12,0.2847,0.4285,0.9981
13,0.2881,0.432,0.9981
14,0.2793,0.4233,0.9982
15,0.29,0.4338,0.9981
16,0.2883,0.4296,0.9981
17,0.2881,0.4308,0.9981
18,0.2828,0.4254,0.9981
19,0.2859,0.4294,0.9981
20,0.2876,0.4306,0.9981
21,0.2814,0.4254,0.9981
22,0.2881,0.4294,0.9981
23,0.2903,0.4322,0.9981
24,0.2785,0.4208,0.9982
25,0.2856,0.426,0.9981
26,0.2849,0.4273,0.9981
27,0.2834,0.4268,0.9981
28,0.281,0.4235,0.9982
29,0.2897,0.4327,0.9981
30,0.2944,0.4369,0.998
31,0.2858,0.429,0.9981
32,0.2863,0.43,0.9981
33,0.2858,0.4249,0.9982
34,0.2818,0.4259,0.9981
35,0.2892,0.4322,0.9981
36,0.2857,0.4285,0.9981
37,0.2823,0.4229,0.9982
38,0.2888,0.4315,0.9981
39,0.284,0.4261,0.9981
40,0.2911,0.434,0.9981
41,0.2866,0.4286,0.9981
42,0.2927,0.4339,0.9981
43,0.2845,0.4285,0.9981
44,0.29,0.4331,0.9981
45,0.2843,0.4266,0.9981
46,0.2913,0.4317,0.9981
47,0.2876,0.4318,0.9981
48,0.2861,0.429,0.9981
49,0.2849,0.4283,0.9981
50,0.2922,0.4342,0.9981
51,0.2844,0.4275,0.9981
52,0.2887,0.4283,0.9981
53,0.2867,0.4291,0.9981
54,0.2836,0.4265,0.9981
55,0.2839,0.4247,0.9982
56,0.286,0.4271,0.9981
57,0.2838,0.4263,0.9981
58,0.2843,0.4267,0.9981
59,0.2856,0.4298,0.9981
60,0.2839,0.424,0.9982
61,0.2947,0.4357,0.9981
62,0.2844,0.4269,0.9981
63,0.2876,0.4307,0.9981
64,0.2877,0.4291,0.9981
65,0.2922,0.4337,0.9981
66,0.2851,0.4265,0.9981
67,0.29,0.4337,0.9981
68,0.2858,0.4286,0.9981
69,0.2877,0.4297,0.9981
70,0.2844,0.4268,0.9981
71,0.2834,0.4262,0.9981
72,0.2775,0.4207,0.9982
73,0.2897,0.4311,0.9981
74,0.2897,0.432,0.9981
75,0.29,0.4331,0.9981
76,0.2867,0.4304,0.9981
77,0.2846,0.426,0.9981
78,0.2855,0.4294,0.9981
79,0.2868,0.4281,0.9981
80,0.2849,0.4267,0.9981
81,0.2833,0.4247,0.9982
82,0.287,0.4284,0.9981
83,0.2849,0.4277,0.9981
84,0.2837,0.4276,0.9981
85,0.2897,0.4339,0.9981
86,0.2827,0.4263,0.9981
87,0.2893,0.432,0.9981
88,0.2854,0.4281,0.9981
89,0.2908,0.4331,0.9981
90,0.2834,0.4264,0.9981
91,0.2796,0.4213,0.9982
92,0.2909,0.4324,0.9981
93,0.2878,0.4299,0.9981
94,0.2903,0.4323,0.9981
95,0.2916,0.4319,0.9981
96,0.2907,0.4321,0.9981
97,0.2897,0.4305,0.9981
98,0.2856,0.4279,0.9981
99,0.2865,0.4282,0.9981
