sensor_id,MAE,RMSE,R2
0,0.1909,0.2933,0.9989
1,0.1843,0.2831,0.9992
2,0.1913,0.2904,0.9991
3,0.187,0.2886,0.9991
4,0.1839,0.2812,0.999
